Hour Ending,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
01/01/2025 01:00,10538.553193,1545.465863,7090.61981,1388.565588,11964.866264,3012.769998,6447.297871,1235.721317,43223.859905
01/01/2025 02:00,10477.91286,1553.994477,7040.460607,1390.392647,12064.919506,2962.803597,6382.650858,1249.397659,43122.532212
01/01/2025 03:00,10363.015361,1534.57562,7028.741719,1390.634577,12040.262276,2981.433181,6320.119991,1259.729121,42918.511847
01/01/2025 04:00,10259.984795,1548.084385,6992.734978,1402.423965,12055.424,2970.761172,6277.132219,1274.238069,42780.783583
01/01/2025 05:00,10332.692971,1585.772017,7026.066195,1425.900669,12307.605237,2975.631819,6298.522746,1301.043053,43253.234707
01/01/2025 06:00,10446.692297,1648.258938,7012.218727,1466.178898,12617.547376,3003.494379,6452.083042,1338.514636,43984.988292
01/01/2025 07:00,10675.949456,1727.9026,6972.756528,1514.241408,13189.924081,3045.193687,6684.00709,1382.111697,45192.086546
01/01/2025 08:00,10751.082972,1799.641978,6963.39573,1549.921274,13645.626092,3043.863127,6893.617412,1404.319918,46051.468502
01/01/2025 09:00,10855.829584,1770.871148,7051.28876,1552.166858,13689.700117,3049.266651,7021.282863,1397.785202,46388.191183
01/01/2025 10:00,10964.109293,1751.887664,7133.753111,1536.872005,13438.365548,3138.621427,7012.357128,1334.603275,46310.569451
01/01/2025 11:00,11080.497162,1683.1012,7119.179996,1515.859843,13245.002144,3249.445842,6955.865092,1264.068949,46113.020229
01/01/2025 12:00,11169.912121,1609.371561,7231.969445,1476.941458,12961.721649,3361.615986,6862.066285,1206.243344,45879.841851
01/01/2025 13:00,11172.474566,1527.112282,7275.321229,1437.739524,12626.784633,3425.00591,6693.206142,1166.34587,45323.990157
01/01/2025 14:00,11117.297137,1459.725003,7262.127794,1389.021591,12170.985465,3457.081945,6563.564484,1137.723892,44557.527311
01/01/2025 15:00,11126.248685,1429.322581,7221.295351,1362.874032,11896.020454,3353.188055,6550.636494,1124.801014,44064.386666
01/01/2025 16:00,11213.645685,1409.125066,7146.251185,1244.628567,11854.358396,3366.473806,6626.071873,1114.426994,43974.981573
01/01/2025 17:00,11305.415973,1456.184127,7174.233554,1194.650847,12201.786651,3371.400996,6803.649483,1140.688674,44648.010304
