Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP ,RRS,NSPIN,ECRS
01/01/2025,01:00,N,0.64,1.09,0.63,0.63,0.03
01/01/2025,02:00,N,1.35,1.06,0.5,0.5,0.03
01/01/2025,03:00,N,0.5,0.95,0.58,0.94,0.03
01/01/2025,04:00,N,1.53,1.04,0.5,0.94,0.03
01/01/2025,05:00,N,0.5,1.03,0.78,0.81,0.03
01/01/2025,06:00,N,1.53,1.19,0.63,0.81,0.05
01/01/2025,07:00,N,1.53,0.94,0.94,1.07,0.11
01/01/2025,08:00,N,0.73,0.75,1,1.04,0.12
01/01/2025,09:00,N,2,1.03,1.03,1.03,1.03
01/01/2025,10:00,N,0.49,1.57,1.07,1.07,1.07
01/01/2025,11:00,N,0.49,1.23,0.73,0.97,0.73
01/01/2025,12:00,N,0.49,1.24,0.49,1,0.24
01/01/2025,13:00,N,0.49,1.15,0.4,0.99,0.06
01/01/2025,14:00,N,0.5,1.15,0.4,0.94,0.09
01/01/2025,15:00,N,0.64,1.25,0.5,0.94,0.5
01/01/2025,16:00,N,0.98,1.21,0.46,0.92,0.32
01/01/2025,17:00,N,2.13,0.94,0.94,0.98,0.94
01/01/2025,18:00,N,4.95,1.63,2.44,1.48,0.24
01/01/2025,19:00,N,3.04,1.98,2.44,2.44,0.11
01/01/2025,20:00,N,2.13,1.98,1.94,1.94,0.12
01/01/2025,21:00,N,1.53,1.81,0.81,1.24,0.13
01/01/2025,22:00,N,1.53,2.04,0.79,1.04,0.06
01/01/2025,23:00,N,1.53,2.74,0.74,0.74,0.04
01/01/2025,24:00,N,1.13,2.18,0.68,0.68,0.04
01/02/2025,01:00,N,1.53,1.74,0.5,0.2,0.03
01/02/2025,02:00,N,1.05,1.06,0.5,0.2,0.03
01/02/2025,03:00,N,0.52,1.06,0.5,0.5,0.03
01/02/2025,04:00,N,0.5,1.06,0.5,0.5,0.03
01/02/2025,05:00,N,0.58,1.25,0.5,0.5,0.03
01/02/2025,06:00,N,1.53,1.06,0.5,0.5,0.04
01/02/2025,07:00,N,1.53,1,1,1.01,0.04
01/02/2025,08:00,N,2.38,0.73,1,1,0.05
01/02/2025,09:00,N,1.17,1.01,1.01,1.01,1.01
01/02/2025,10:00,N,0.79,1.52,1.02,1.02,1.02
