Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
01/01/2024,01:00,N,HB_BUSAVG,16.28
01/01/2024,01:00,N,HB_HOUSTON,15.84
01/01/2024,01:00,N,HB_HUBAVG,16.62
01/01/2024,01:00,N,HB_NORTH,16.31
01/01/2024,01:00,N,HB_PAN,16.97
01/01/2024,01:00,N,HB_SOUTH,14.55
01/01/2024,01:00,N,HB_WEST,19.79
01/01/2024,01:00,N,LZ_AEN,16.46
01/01/2024,01:00,N,LZ_CPS,17.47
01/01/2024,01:00,N,LZ_HOUSTON,15.79
01/01/2024,01:00,N,LZ_LCRA,16.69
01/01/2024,01:00,N,LZ_NORTH,16.34
01/01/2024,01:00,N,LZ_RAYBN,16.35
01/01/2024,01:00,N,LZ_SOUTH,12.44
01/01/2024,01:00,N,LZ_WEST,26.93
01/01/2024,02:00,N,HB_BUSAVG,17.25
01/01/2024,02:00,N,HB_HOUSTON,16.84
01/01/2024,02:00,N,HB_HUBAVG,17.69
01/01/2024,02:00,N,HB_NORTH,17.05
01/01/2024,02:00,N,HB_PAN,17.49
01/01/2024,02:00,N,HB_SOUTH,15.96
01/01/2024,02:00,N,HB_WEST,20.9
01/01/2024,02:00,N,LZ_AEN,17.45
01/01/2024,02:00,N,LZ_CPS,18.46
01/01/2024,02:00,N,LZ_HOUSTON,16.81
01/01/2024,02:00,N,LZ_LCRA,17.73
01/01/2024,02:00,N,LZ_NORTH,17.07
01/01/2024,02:00,N,LZ_RAYBN,17.06
01/01/2024,02:00,N,LZ_SOUTH,14.35
01/01/2024,02:00,N,LZ_WEST,28.04
01/01/2024,03:00,N,HB_BUSAVG,17.24
01/01/2024,03:00,N,HB_HOUSTON,16.78
01/01/2024,03:00,N,HB_HUBAVG,17.81
01/01/2024,03:00,N,HB_NORTH,16.79
01/01/2024,03:00,N,HB_PAN,17.31
01/01/2024,03:00,N,HB_SOUTH,16.31
01/01/2024,03:00,N,HB_WEST,21.34
01/01/2024,03:00,N,LZ_AEN,17.23
01/01/2024,03:00,N,LZ_CPS,18.07
01/01/2024,03:00,N,LZ_HOUSTON,16.76
01/01/2024,03:00,N,LZ_LCRA,17.51
01/01/2024,03:00,N,LZ_NORTH,16.81
01/01/2024,03:00,N,LZ_RAYBN,16.8
01/01/2024,03:00,N,LZ_SOUTH,15.39
01/01/2024,03:00,N,LZ_WEST,30.44
01/01/2024,04:00,N,HB_BUSAVG,17.85
01/01/2024,04:00,N,HB_HOUSTON,17.39
01/01/2024,04:00,N,HB_HUBAVG,18.57
01/01/2024,04:00,N,HB_NORTH,17.1
01/01/2024,04:00,N,HB_PAN,17.5
01/01/2024,04:00,N,HB_SOUTH,17.45
01/01/2024,04:00,N,HB_WEST,22.32
01/01/2024,04:00,N,LZ_AEN,17.78
01/01/2024,04:00,N,LZ_CPS,18.52
01/01/2024,04:00,N,LZ_HOUSTON,17.39
01/01/2024,04:00,N,LZ_LCRA,18.04
01/01/2024,04:00,N,LZ_NORTH,17.1
01/01/2024,04:00,N,LZ_RAYBN,17.08
01/01/2024,04:00,N,LZ_SOUTH,17.17
01/01/2024,04:00,N,LZ_WEST,32.32
01/01/2024,05:00,N,HB_BUSAVG,19.4
01/01/2024,05:00,N,HB_HOUSTON,19.01
01/01/2024,05:00,N,HB_HUBAVG,20.03
01/01/2024,05:00,N,HB_NORTH,18.87
01/01/2024,05:00,N,HB_PAN,19.48
